gendered,neutral,difficulty
Estos servicios permitirán que los administrativos trabajen con más eficacia y realicen sus actividades de manera más óptima.,Estos servicios permitirán que el personal administrativo trabaje con más eficacia y realice sus actividades de manera más óptima,dificultades_variadas
La autora de este texto es Virginia Wolf,la autora de este texto es Virginia Wolf,dificultades_variadas
"El 90% votó a favor , los otros se abstuvieron","El 90% votó a favor , el resto se abstuvo",dificultades_variadas
la autora de esta novela es Virginia Wolf,la autora de esta novela es Virginia Wolf,no_cambia
"En muchos casos , los equipos de trabajo funcionan únicamente como vehículo para que alguien pueda hacerse con el poder o mantenerse con él","En muchos casos , los equipos de trabajo funcionan únicamente como vehículo para que cierta persona pueda hacerse con el poder o mantenerse con él",dificultades_variadas
"Para ser catedrática, se necesita mucho esfuerzo","Para obtener una cátedra, se necesita mucho esfuerzo",dificultades_variadas
Habitualmente los partidos funcionan únicamente como vehículo para que alguien pueda hacerse con el poder,Habitualmente los partidos funcionan únicamente como vehículo para que cierta persona pueda hacerse con el poder,dificultades_variadas
Todos los asistentes al curso obtendrán un regalo,Cada asistente al curso obtendrá un regalo,dificultades_variadas
Ante este suceso se debe pedir consejo a las accionistas,Ante este suceso se debe pedir consejo al accionariado,dificultades_variadas
Otro campo de actuación importante han sido los hospitales privados donde se trabaja con las enfermeras codo con codo,Otro campo de actuación importante han sido los hospitales privados donde se trabaja con el personal sanitario codo con codo,dificultades_variadas
Cine de adultas,Cine adulto,dificultades_variadas
Durante su ingreso no debe tomar vitaminas que no le sean suministradas por los especialistas en este caso,Durante su ingreso no debe tomar vitaminas que no le sean suministradas por el personal experto en este caso,dificultades_variadas
las alumnas han presentado una queja hacia las profesoras en los exámenes finales. Los representantes estudiantiles son los alumnos Juanju y Javi.,el alumnado ha presentado una queja hacia el profesorado en los exámenes finales. Los representantes estudiantiles son los alumnos Juanju y Javi.,dificultades_variadas
Después de este tiempo los limpiadores y las limpiadoras retirarán todos los materiales,Después de este tiempo el personal de limpieza retirará todos los materiales,dificultades_variadas
Se han incorporado al centro dos docentes para el nuevo curso. Los formadores Mario y Roberto serán los responsables de coordinar el departamento de Lengua Castellana.,Se han incorporado al centro dos docentes para el nuevo curso. Los profesores Mario y Roberto serán los responsables de coordinar el departamento de Lengua Castellana.,dificultades_variadas
Todos los asistentes al viaje recibirán una acreditación,Cada asistente al viaje recibirá una acreditación,dificultades_variadas
Recibirán una prestación los parados,Recibirán una prestación las personas en paro,dificultades_variadas
Habitualmente los equipos de trabajo funcionan únicamente como vehículo para que alguien pueda hacerse con el control o mantenerlo,Habitualmente los equipos de trabajo funcionan únicamente como vehículo para que cierta persona pueda hacerse con el control o mantenerlo,dificultades_variadas
los equipos de futbol funcionan únicamente como vehículo para que alguno pueda hacerse con el control o mantenelo,los equipos de futbol funcionan únicamente como vehículo para que cierta persona pueda hacerse con el control o mantenerlo,dificultades_variadas
Todos los asistentes al viaje recibirán un dossier explicativo,Cada asistente al viaje recibirá un dossier explicativo,dificultades_variadas
los equipos de futbol funcionan únicamente como vehículo para que alguna pueda hacerse con el control o mantenerlo,los equipos de futbol funcionan únicamente como vehículo para que cierta persona pueda hacerse con el control o mantenerlo,dificultades_variadas
Establecer un protocolo de acción para todos las profesoras de manera unívoca,Establecer un protocolo de acción para todo el profesorado de manera unívoca,dificultades_variadas
El tiempo que esté aquí no debe tomar agua que no le sea suministrada por los especialistas en su cirugía,El tiempo que esté aquí no debe tomar agua que no le sea suministrada por el personal experto en su cirugía,dificultades_variadas
Todos los asistentes al viaje obtendrán un dossier explicativo,Cada asistente al viaje obtendrá un dossier explicativo,dificultades_variadas
Otro campo de acción importante fueron los hospitales donde se trabaja con los enfermeros,Otro campo de acción importante fueron los hospitales donde se trabaja con el personal sanitario,dificultades_variadas
Habitualmente los partidos funcionan únicamente como vehículo para que alguna pueda hacerse con el control o mantenerlo,Habitualmente los partidos funcionan únicamente como vehículo para que cierta persona pueda hacerse con el control o mantenerlo,dificultades_variadas
Curso de idioma dirigido a aquellos que quieren perfeccionar su segunda lengua,Curso de idioma dirigidos a quienes quieran perfeccionar su segunda lengua,dificultades_variadas
los aspirantes deberán comunicar inmediatamente a la Comisión cualquier modificación importante de la ciudad.,quienes aspiren deberán comunicar inmediatamente a la Comisión cualquier modificación importante de la ciudad.,dificultades_variadas
Disfruto de seáis vosotros quienes a veces me lean algo,Disfruto de que alguna persona a veces me lea algo,dificultades_variadas
Otro campo de acción importante fueron los hospitales privados donde se trabaja con los médicos,Otro campo de acción importante fueron los hospitales privados donde se trabaja con el personal médico,dificultades_variadas
Los formadores Adolfo y Germán impartirán la asignatura de Francés.,Los formadores Adolfo y Germán impartirán la asignatura de Francés.,nombres_propios
los alumnos han presentado una queja a los profesores por las notas. Los representantes estudiantiles son los alumnos Juanju y Javi.,el alumnado ha presentado una queja al profesorado por las notas. Los representantes estudiantiles son los alumnos Juanju y Javi.,dificultades_variadas
Establecer un protocolo de acción para todos las formadoras de manera unívoca,Establecer un protocolo de acción para todo el profesorado de manera unívoca,dificultades_variadas
Me gusta que seáis vosotros quienes de vez en cuando me reciten algo,Me gusta que alguien de vez en cuando me recite algo,dificultades_variadas
Los restantes vocales,El resto de vocales,dificultades_variadas
También requiere que las políticas se formulen con el colaborador de los líderes indígenas,También requiere que las políticas se formulen en colaboración con los líderes indígenas,dificultades_variadas
Aunque soy capaz de leer solo me gusta escuchar leer,Aunque soy capaz de leer por mi cuenta me gusta escuchar leer,dificultades_variadas
Me gusta que seáis vosotros quienes me lean algo,Me gusta que alguien me lea algo,dificultades_variadas
Otro campo de actuación importante fueron los hospitales privados donde se trabaja con las enfermeras codo con codo,Otro campo de actuación importante fueron los hospitales privados donde se trabaja con el personal sanitario codo con codo,dificultades_variadas
los alumnos han presentado una queja a las profesoras en los exámenes finales. Los representantes estudiantiles son los alumnos Juanju y Javi.,el alumnado ha presentado una queja al profesorado en los exámenes finales. Los representantes estudiantiles son los alumnos Juanju y Javi.,dificultades_variadas
Número de vigilantes de seguridad en la CAM que pudieran ser asignados a este servicio,Número de vigilantes de seguridad en la CAM que pudieran asignarse a este servicio,dificultades_variadas
Todos los asistentes al viaje recibirán un diploma,Cada asistente al viaje recibirá un diploma,dificultades_variadas
Estos ordenadores permitirán que los administrativos trabajen con más celeridad y realicen sus actividades de manera más óptima,Estos ordenadores permitirán que el personal administrativo trabaje con más celeridad y realice sus actividades de manera más óptima,dificultades_variadas
Todos los asistentes al curso obtendrán un dossier explicativo,Cada asistente al curso obtendrá un dossier explicativo,dificultades_variadas
Otro campo de acción importante han sido los hospitales privados donde se trabaja con el personal sanitario,Otro campo de acción importante han sido los hospitales privados donde se trabaja con el personal sanitario,no_cambia
La Madre Tierra/Pachamama es sagrada y central para los,La Madre Tierra/Pachamama es sagrada y central para los,no_cambia
Todos los ponentes al viaje contarán con un diploma,Cada ponente al viaje contará con un diploma,dificultades_variadas
Mientras esté ingresado no debe tomar vitaminas que no le sean suministradas por los especialistas de nuestro centro,Mientras esté ingresado no debe tomar vitaminas que no le sean suministradas por el personal experto de nuestro centro,dificultades_variadas
Durante su ingreso no debe tomar vitaminas que no le sean suministradas por los expertos,Durante su ingreso no debe tomar vitaminas que no le sean suministradas por el personal especializado,dificultades_variadas
Es crucial cubrir las carencias que tiene el promotor incorporando personal cualificado con un perfil diferente para compensar las carencias,Es crucial cubrir las carencias que tiene el equipo promotor incorporando personal cualificado con un perfil diferente para compensar las carencias,plural_complejo
Tenemos que cubrir las carencias que presenta el promotor añadiendo personal con un perfil diferente para compensar las carencias,Tenemos que cubrir las carencias que presenta el equipo promotor añadiendo personal con un perfil diferente para compensar las carencias,plural_complejo
Tenemos que solventar los problemas que tiene el promotor incorporando personal cualificado con un perfil diferente para compensar los fallos,Tenemos que solventar los problemas que tiene el equipo promotor incorporando personal cualificado con un perfil diferente para compensar los fallos,plural_complejo
Todos los ponentes al congreso contarán con un regalo,Cada ponente al congreso contará con un regalo,dificultades_variadas
Mientras esté ingresado no debe tomar vitaminas que no le sean suministradas por los especializados en este caso,Mientras esté ingresado no debe tomar vitaminas que no le sean suministradas por el personal experto en este caso,dificultades_variadas
Cuando las personas beneficiarias de una asignación por minusvalía fallezcan sin que se reúnan las condiciones se aplicará el protocolo,Cuando Las personas beneficiarias de una asignación por minusvalía fallezcan sin que se reúnan las condiciones se aplicará el protocolo,no_cambia
El tiempo que esté aquí no debe tomar vitaminas que no le sean suministradas por los especialistas en este caso,El tiempo que esté aquí no debe tomar vitaminas que no le sean suministradas por el personal experto en este caso,dificultades_variadas
Otro campo de acción importante han sido los hospitales públicos donde se trabaja con las enfermeras,Otro campo de acción importante han sido los hospitales públicos donde se trabaja con el personal sanitario,dificultades_variadas
Podrá solicitar la beca todo estudiante que esté matriculado en la Universidad de Jaén.,Podrá solicitar la beca todo estudiante que se haya matriculado en la Universidad de Jaén.,dificultades_variadas
Estas herramientas permitirán que los administrativos trabajen con más rapidez,Estas herramientas permitirán que el personal administrativo trabaje con más rapidez,dificultades_variadas
Para ser catedrático se requiere ser constante,Para obtener una cátedra se requiere ser constante,dificultades_variadas
Todos los ponentes al congreso recibirán un regalo,Cada ponente al congreso recibirá un regalo,dificultades_variadas
"los organizadores de los programas sabían que , para ser efectivos , era necesario acompañar la participación","la organización de los programas sabía que , para ser efectivos , era necesario acompañar la participación",dificultades_variadas
Mientras esté ingresado no debe tomar vitaminas que no le sean suministradas por los especialistas,Mientras esté ingresado no debe tomar vitaminas que no le sea suministrada por el personal experto,dificultades_variadas
Nosotras abogamos por una universidad gratuita,Abogamos por una universidad gratuita,dificultades_variadas
"El 90% votó a favor , los otros se abstuvieron","El 90% votó a favor , el resto se abstuvo",dificultades_variadas
las estudiantes se integran en una amplia comunidad virtual en donde distintos servicios en línea están a su alcance para dar respuesta a sus necesidades.,el estudiantado de se integra en una amplia comunidad virtual en donde distintos servicios en línea están a su alcance para dar respuesta a sus necesidades.,dificultades_variadas
Establecer un protocolo de acción para todas las profesoras de manera justa,Establecer un protocolo de acción para todo el profesorado de manera justa,dificultades_variadas
Cada uno,Cada cual,dificultades_variadas
Mientras esté ingresado no debe tomar vitaminas que no le sean suministradaa por los expertos de nuestro centro,Mientras esté ingresado no debe tomar vitaminas que no le sean suministradas por el personal especializado de nuestro centro,dificultades_variadas
El tiempo que esté aquí no debe tomar vitaminas que no le sean suministradas por los especialistas de nuestro centro,El tiempo que esté aquí no debe tomar vitaminas que no le sean suministradas por el personal experto de nuestro centro,dificultades_variadas
Todos los asistentes al congreso obtendrán una carpeta con materiales,Cada asistente al congreso obtendrá una carpeta con materiales,dificultades_variadas
Todos los ponentes al viaje obtendrán una acreditación,Cada ponente al viaje obtendrá una acreditación,dificultades_variadas
Todos los ponentes al curso contarán con un regalo,Cada ponente al curso contará con un regalo,dificultades_variadas
"Esto significa que si uno de los padres tiene el TD o el gen del TD , existe una probabilidad del 50 por ciento de que transmita el gen en cada embarazo a su hijo","Esto significa que si uno de los padres tiene el TD o el gen del TD , existe una probabilidad del 50 por ciento de que transmita el gen en cada embarazo a su hijo o hija",no_cambia
Tenemos que cubrir las carencias que tiene el personal promotor contratando personal con un perfil diferente para compensar los errores pasados,Tenemos que cubrir las carencias que tiene el personal promotor contratando personal con un perfil diferente para compensar los errores pasados,no_cambia
Todos los ponentes al congreso contarán con una carpeta con materiales,Cada ponente al congreso contará con una carpeta con materiales,dificultades_variadas
¿Puede el hombre diferenciar el bien del mal?,¿Se puede diferenciar el bien del mal?,dificultades_variadas
las clientas deberán acudir a recepción en primer lugar.,la clientela deberá acudir a recepción en primer lugar.,dificultades_variadas
Curso de idioma dirigidosa aquellas personas que quieran aprender a comunicarse con fluidez,Curso de idioma dirigido a quienes quieran aprender a comunicarse con fluidez,dificultades_variadas
Todas tenemos,Cada persona tiene,dificultades_variadas
Todos los asistentes al congreso obtendrán un diploma,Cada asistente al congreso obtendrá un diploma,dificultades_variadas
Todos los asistentes al curso recibirán una carpeta con materiales,Cada asistente al curso recibirá una carpeta con materiales,dificultades_variadas
"Anímate, hazte socio y colabora con nuestro reto","Anímate, asóciate y colabora con nuestro reto",dificultades_variadas
Otro campo de actuación importante han sido los hospitales donde se trabaja con las enfermeras,Otro campo de actuación importante han sido los hospitales donde se trabaja con el personal sanitario,dificultades_variadas
Durante su ingreso no debe tomar vitaminas que no le sean suministradas por los expertos en su cirugía,Durante su ingreso no debe tomar vitaminas que no le sean suministradas por el personal especializado en su cirugía,dificultades_variadas
Otro campo de actuación importante han sido los hospitales públicos donde se trabaja con los médicos de manera estrecha,Otro campo de actuación importante han sido los hospitales públicos donde se trabaja con el personal médico de manera estrecha,dificultades_variadas
Otro campo de actuación importante han sido los hospitales públicos donde se trabaja con los enfermeros de manera estrecha,Otro campo de actuación importante han sido los hospitales públicos donde se trabaja con el personal sanitario de manera estrecha,dificultades_variadas
Estas herramientas permitirán que los administrativos trabajen con más eficacia,Estas herramientas permitirán que el personal administrativo trabaje con más eficacia,dificultades_variadas
¿Cómo cabe esperar que la situación empeore si los encargados de valorar las estimaciones apenas tiene en cuenta este aspecto?,¿Cómo cabe esperar que la situación empeore si el personal encargado de valorar las estimaciones apenas tiene en cuenta este aspecto?,dificultades_variadas
Otro campo de actuación importante fueron los hospitales públicos donde se trabaja con el personal sanitario,Otro campo de actuación importante fueron los hospitales públicos donde se trabaja con el personal sanitario,no_cambia
¿ alguna quiere pasar a la pizarra?,¿ quién quiere pasar a la pizarra?,dificultades_variadas
Todos los ponentes al congreso contarán con un dossier explicativo,Cada ponente al congreso contará con un dossier explicativo,dificultades_variadas
Todos los ponentes al curso contarán con un diploma,Cada ponente al curso contará con un diploma,dificultades_variadas
Disfruto de que seáis vosotros quienes me lean algo,Disfruto alguien me lea algo,dificultades_variadas
Los intermediarios del acuerdo se ocuparán también de saber si la oficina tiene todas sus cuentas al día y si no hay cargas,Las personas intermediarias del acuerdo se ocuparán también de saber si la oficina tiene todas sus cuentas al día y si no hay cargas,dificultades_variadas
Todos tenemos nuestros derechos,Los humanos tenemos nuestros derechos,dificultades_variadas
Los periódicos podrán hacer difusión haciendo constar siempre la procedencia y el autor de las encuestas,Los periódicos podrán hacer difusión haciendo constar siempre la procedencia y la autoría de las encuestas,dificultades_variadas
No es exagerado decir que carga con una larga historia de mala fama entre los electores y la prensa nacional,No es exagerado decir que carga con una larga historia de mala fama entre el electorado y la prensa nacional,dificultades_variadas
Participaron unos veintitrés participantes,Participaron veintitrés participantes,dificultades_variadas
Todos los asistentes al congreso contará con un dossier explicativo,Cada asistente al congreso contará con un dossier explicativo,dificultades_variadas
Todos los ponentes al viaje recibirá una carpeta con materiales,Cada ponente al viaje recibirá una carpeta con materiales,dificultades_variadas
Disfruto seáis vosotros quienes me lea algo,Disfruto de que alguna persona me lea algo,dificultades_variadas
La revista es revisada por profesionales cualificados,La revista es revisada por profesionales con cualificación,dificultades_variadas
Las páginas web podrán publicar sin olvidar nunca la procedencia y el autor de los ensayos filosóficos,Las páginas web podrán publicar sin olvidar nunca la procedencia y la autoría de los ensayos filosóficos,dificultades_variadas
Podrá solicitar la beca todo estudiante que esté matriculado en la Universidad de Jaén.,Podrá solicitar la beca todo estudiante con matrícula en la Universidad de Jaén.,dificultades_variadas
hay un 50% de probabilidad de que si es varón tenga hemofilia y un 50% de probabilidad de que si es mujer sea portadora del gen.,hay un 50% de probabilidad de que si es varón tenga hemofilia y un 50% de probabilidad de que si es mujer sea portadora del gen.,no_cambia
Debe figurar el nombre de la ocupante de la plaza,Debe figurar el nombre de quien ocupa la plaza,dificultades_variadas
Todos los ponentes al curso recibirán un diploma,Cada ponente al curso recibirá un diploma,dificultades_variadas
Todos tenemos que ser respetuosos,Cada persona tiene ser respetuosa,dificultades_variadas
Todos los ponentes al viaje recibirán una acreditación,Cada ponente al viaje recibirá una acreditación,dificultades_variadas
Estos servicios permitirán que los administrativos trabajen con más rapidez,Estos servicios permitirán que el personal administrativo trabaje con más rapidez,dificultades_variadas
los equipos de trabajo funcionan únicamente como vehículo para que alguno pueda hacerse con el control o mantenerlo,los equipos de trabajo funcionan únicamente como vehículo para que cierta persona pueda hacerse con el control o mantenerlo,dificultades_variadas
Todos los asistentes al curso contarán con un dossier explicativo,Cada asistente al curso contará con un dossier explicativo,dificultades_variadas
Todos los ponentes al viaje contarán con una acreditación,Cada ponente al viaje contará con una acreditación,dificultades_variadas
los asistentes a la función deberán llegar temprano,quien asista a la función deberá llegar temprano,dificultades_variadas
Otro campo de acción importante fueron los hospitales donde se trabaja con las enfermeras de manera estrecha,Otro campo de acción importante fueron los hospitales donde se trabaja con el personal sanitario de manera estrecha,dificultades_variadas
La revista es revisada por profesionales cualificados,La revista es revisada profesionales con cualificación,dificultades_variadas
Estos proyectos se desarrollan en todo el espectro de interacciones entre los funcionarios y el público,Estos proyectos se desarrollan en todo el espectro de interacciones entre el funcionariado y el público,dificultades_variadas
Todos los asistentes al congreso obtendrán una acreditación,Cada asistente al congreso obtendrá una acreditación,dificultades_variadas
Los formadores Alejandro y Manuel impartirán la asignatura de Química.,Los formadores Alejandro y Manuel impartirán la asignatura de Química.,nombres_propios
Curso de idioma dirigidos a aquellos que quieran aprender a comunicarse con fluidez,Curso de idioma dirigidos a quienes quieran aprender a comunicarse con fluidez,dificultades_variadas
Otro campo de acción importante han sido los hospitales donde se trabaja con los médicos codo con codo,Otro campo de acción importante han sido los hospitales donde se trabaja con el personal médico codo con codo,dificultades_variadas
¿Cómo podemos esperar que la situación mejore si los encargados de maximizar los beneficios apenas tienen en cuenta este aspecto?,¿Cómo podemos esperar que la situación mejore si el personal encargado de maximizar los beneficios apenas tiene en cuenta este aspecto?,dificultades_variadas
"Previamente , los aspirantes deberán comunicar inmediatamente a la Comisión cualquier modificación determinante","Previamente , quienes aspiren deberán comunicar inmediatamente a la Comisión cualquier modificación determinante",dificultades_variadas
las alumnas han presentado una queja hacia las profesoras por las notas. Los representantes estudiantiles son los alumnos Juanju y Javi.,el alumnado ha presentado una queja hacia el profesorado por las notas. Los representantes estudiantiles son los alumnos Juanju y Javi.,dificultades_variadas
Habitualmente los equipos de futbol funcionan únicamente como vehículo para que alguno pueda hacerse con el control,Habitualmente los equipos de futbol funcionan únicamente como vehículo para que cierta persona pueda hacerse con el control,dificultades_variadas
todos los que hablamos nos hemos disculpado,quienes hablamos nos hemos disculpado,dificultades_variadas
Otro campo de acción importante fueron los hospitales públicos donde se trabaja con los enfermeros codo con codo,Otro campo de acción importante fueron los hospitales públicos donde se trabaja con el personal sanitario codo con codo,dificultades_variadas
Durante su ingreso no debe tomar vitaminas que no le sean suministradas por los especialistas de nuestro centro,Durante su ingreso no debe tomar vitaminas que no le sean suministradas por el personal experto de nuestro centro,dificultades_variadas
Cada una,Cada quien,dificultades_variadas
los asistentes a la función deberán llegar temprano,quien asista a la función deberá llegar temprano,dificultades_variadas
Otro campo de acción importante han sido los hospitales donde se trabaja con los enfermeros,Otro campo de acción importante han sido los hospitales donde se trabaja con el personal sanitario,dificultades_variadas
Todos los ponentes al curso recibirán un dossier explicativo,Cada ponente al curso recibirá un dossier explicativo,dificultades_variadas
Todos los asistentes al curso recibirán un dossier explicativo,Cada asistente al curso recibirá un dossier explicativo,dificultades_variadas
Todos los ponentes al curso obtendrán un diploma,Cada ponente al curso obtendrá un diploma,dificultades_variadas
la autora de este escrito es Virginia Wolf,la autora de este escrito es Virginia Wolf,dificultades_variadas
"Si quieres ir a un museo con la clase , vas a tener que avisar a tu familia","Si quieres ir a un museo con la clase , vas a tener que avisar a tu familia",dificultades_variadas
El tribunal estará compuesto por profesionales autorizados,El tribunal estará compuesto por profesionales con autorización,dificultades_variadas
Todos los ponentes al viaje obtendrán un diploma,Cada ponente al viaje obtendrá un diploma,dificultades_variadas
Durante su ingreso no debe tomar vitaminas que no le sean suministradas por los especialistas en este caso,Durante su ingreso no debe tomar vitaminas que no le sean suministradas por el personal experto en este caso,dificultades_variadas
Alguien ha terminado el trabajo,Alguien ha terminado el trabajo,dificultades_variadas
